22:26:47,517 INFO  [org.jboss.modules] (main) JBoss Modules version 1.3.6.Final-redhat-1
22:26:49,922 INFO  [org.jboss.msc] (main) JBoss MSC version 1.1.5.Final-redhat-1
22:26:50,824 INFO  [org.jboss.as] (MSC service thread 1-1) JBAS015899: JBoss EAP 6.4.0.GA (AS 7.5.0.Final-redhat-21) starting
22:26:59,553 INFO  [org.xnio] (MSC service thread 1-1) XNIO Version 3.0.13.GA-redhat-1
22:26:59,677 INFO  [org.xnio.nio] (MSC service thread 1-1) XNIO NIO Implementation Version 3.0.13.GA-redhat-1
22:26:59,750 INFO  [org.jboss.as] (Controller Boot Thread) JBAS010902: Creating http management service using network interface (management) port (9990) securePort (-1)
22:27:00,289 INFO  [org.jboss.remoting] (MSC service thread 1-1) JBoss Remoting version 3.3.4.Final-redhat-1
22:27:01,304 INFO  [org.jboss.as.remoting] (MSC service thread 1-2) JBAS017100: Listening on 192.168.1.16:9999
22:27:13,624 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute default-stack is deprecated, and it might be removed in future version!
22:27:13,625 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,625 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,626 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,626 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,627 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,627 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,657 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,682 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,684 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,685 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,687 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,688 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,762 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
22:27:13,764 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) JBAS014627: Attribute type is deprecated, and it might be removed in future version!
